TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN0000001,2023-01-01,Doll House Wooden,Toys,South,Offline,2,7016.97,14033.94,Credit Card,CUST00348
TXN0000002,2023-01-01,Premium Denim Jacket,Fashion,West,Offline,1,9773.66,9773.66,Net Banking,CUST00203
TXN0000003,2023-01-01,Vitamin C Serum 30ml,Beauty,East,Offline,2,1102.53,2205.06,Net Banking,CUST01903
TXN0000004,2023-01-01,Formal Shirt Pack,Fashion,North,Offline,1,1304.2,1304.2,UPI,CUST02707
TXN0000005,2023-01-01,Whole Wheat Atta 10kg,Grocery,South,Offline,2,475.6,951.2,UPI,CUST04459
TXN0000006,2023-01-01,Sony WH-1000XM5,Electronics,East,Offline,1,36240.67,36240.67,Credit Card,CUST07057
TXN0000007,2023-01-01,Air Purifier HEPA,Appliances,South,Offline,1,15309.07,15309.07,Credit Card,CUST10747
TXN0000008,2023-01-01,Kindle Paperwhite,Electronics,East,Offline,1,13733.07,13733.07,UPI,CUST04842
TXN0000009,2023-01-01,Play-Doh Mega Set,Toys,West,Offline,1,505.29,505.29,Cash,CUST02295
TXN0000010,2023-01-01,Kindle Paperwhite,Electronics,South,Offline,1,12224.67,12224.67,Credit Card,CUST00065
TXN0000011,2023-01-01,Basmati Rice 5kg,Grocery,West,Offline,3,504.08,1512.24,Net Banking,CUST11115
TXN0000012,2023-01-01,Cricket Bat SS,Sports,West,Offline,2,6579.81,13159.62,Credit Card,CUST03271
TXN0000013,2023-01-01,Handbag Leather,Fashion,South,Offline,1,7342.47,7342.47,Cash,CUST06513
TXN0000014,2023-01-01,Sketch Pencil Set,Stationery,North,Offline,2,685.48,1370.96,Net Banking,CUST03169
TXN0000015,2023-01-01,Premium Denim Jacket,Fashion,West,Offline,2,4386.76,8773.52,UPI,CUST04265
TXN0000016,2023-01-01,Running Shoes Elite,Fashion,South,Offline,1,3211.62,3211.62,Credit Card,CUST09649
TXN0000017,2023-01-01,Ergonomic Office Chair,Furniture,West,Online,1,11346.99,11346.99,Cash,CUST00065
TXN0000018,2023-01-01,Phone Case Premium,Accessories,West,Online,2,567.65,1135.3,UPI,CUST00043
TXN0000019,2023-01-01,Mixer Grinder 750W,Appliances,West,Offline,1,4079.39,4079.39,Cash,CUST09112
TXN0000020,2023-01-01,Sony WH-1000XM5,Electronics,East,Offline,1,37623.78,37623.78,UPI,CUST00257
TXN0000021,2023-01-01,Cricket Bat SS,Sports,North,Offline,1,4185.56,4185.56,UPI,CUST00152
